Musical,Song,Text
Company,Company,Bobby...
Company,Company,Bobby..
Company,Company,Bobby baby...
Company,Company,Bobby bubi...
Company,Company,Robby...
Company,Company,"Robert, darling..."
Company,Company,"Bobby, we've been trying to call you Bobby..."
Company,Company,Bobby...
Company,Company,Bobby baby...
Company,Company,Bobby bubi...
Company,Company,"Angel, I've got something to tell you Bob..."
Company,Company,Rob-O...
Company,Company,"Robby, love..."
Company,Company,"Bobby, honey..."
Company,Company,"Bobby, we've been trying to Bobby"
Company,Company,Reach you all day
Company,Company,Angel...
Company,Company,Bobby...
Company,Company,Darling...
Company,Company,Bobby baby...
Company,Company,Bobby...
Company,Company,"The kids were asking, Bobby... Robert..."
Company,Company,Robby...
Company,Company,Bob-O...
Company,Company,"Bobby, there was something Sweetheart..."
Company,Company,We wanted to say
Company,Company,Bobby...
Company,Company,Sugar...
Company,Company,Bobby bubi...
Company,Company,"What have you been up to, kiddo? You're line was busy"
Company,Company,Bobby
Company,Company,Fella
Company,Company,Bobby
Company,Company,Sweetie
Company,Company,How have you been?
Company,Company,Stop by on your way home
Company,Company,"Seems like weeks since we Bobby, we've been"
Company,Company,Talked to you Thinking of you
Company,Company,Drop by any time
Company,Company,"Bobby, there's a concert on Tuesday"
Company,Company,Hank and Mary get into town tomorrow
Company,Company,How about some Scrabble on Sunday?
Company,Company,Why don't we all go to the beach next weekend?
Company,Company,"Bob, we're having people in Bobby..."
Company,Company,Saturday night...
Company,Company,Bobby
Company,Company,Bobby baby
Company,Company,Robby
Company,Company,Whatcha' doing Thursday? Angel...
Company,Company,Bobby bubi...
Company,Company,"Time we got together, Bobby..."
Company,Company,Is Wednesday alright?
Company,Company,Rob-O...
Company,Company,"Bobby, honey..."
Company,Company,"Robby, darling..."
Company,Company,Eight o'clock on Monday Bobby fella...
Company,Company,Bobby baby...
Company,Company,"Bobby, come on over for dinner!"
Company,Company,We'll be so glad to see you!
Company,Company,"Bobby, come on over for dinner!"
Company,Company,Just be the three of us
Company,Company,Only the three of us!
Company,Company,We love you!
Company,Company,"Phone rings, door chimes, in comes company!"
Company,Company,"No strings, good times, room hums, company"
Company,Company,"Late nights, quick bites, party games"
Company,Company,"Deep talks, long walks, telephone calls"
Company,Company,"Thoughts shared, souls bared, private names"
Company,Company,All those photos up on the walls
Company,Company,"""With love"""
Company,Company,With love filling the days
Company,Company,With love seventy ways
Company,Company,"""To Bobby with love"""
Company,Company,From all
Company,Company,Those
Company,Company,"Good and crazy people, my friends"
Company,Company,"Those good and crazy people, my married friends"
Company,Company,"And that's what it's all about, isn't it?"
Company,Company,That's what it's really about
Company,Company,Really about!
Company,Company,Bobby...
Company,Company,Bobby...
Company,Company,Bobby baby...
Company,Company,Bobby bubi...
Company,Company,Robby...
