musical,song,text
Passion,Happiness,I'm so happy
Passion,Happiness,I'm afraid I'll die
Passion,Happiness,Here in your arms
Passion,Happiness,What would you do
Passion,Happiness,If I died
Passion,Happiness,Like this
Passion,Happiness,Right now
Passion,Happiness,Here in your arms?
Passion,Happiness,That we ever should have met
Passion,Happiness,Is a miracle
Passion,Happiness,"No, inevitable—"
Passion,Happiness,"Then inevitable, yes"
Passion,Happiness,But I confess
Passion,Happiness,It was the look—
Passion,Happiness,The look?
Passion,Happiness,The sadness in your eyes
Passion,Happiness,That day
Passion,Happiness,When we glanced
Passion,Happiness,At each other in the park
Passion,Happiness,We were both unhappy
Passion,Happiness,Unhappiness can be seductive
Passion,Happiness,You pitied me
Passion,Happiness,How quickly pity leads to love
Passion,Happiness,All this happiness
Passion,Happiness,Merely from a glance in the park
Passion,Happiness,So much happiness
Passion,Happiness,So much love
Passion,Happiness,I thought I knew what love was
Passion,Happiness,I wish we might have met so much sooner
Passion,Happiness,I could have given you—
Passion,Happiness,I thought I knew what love was
Passion,Happiness,—My youth
Passion,Happiness,I thought I knew how much I could feel
Passion,Happiness,All the time we lost...
Passion,Happiness,I didn't know what love was
Passion,Happiness,I've never known what love was
Passion,Happiness,But now—
Passion,Happiness,"
And now—"
Passion,Happiness,— I do
Passion,Happiness,It's what I feel with you
Passion,Happiness,The happiness I feel with you
Passion,Happiness,So much happiness
Passion,Happiness,Happening by chance in a park
Passion,Happiness,"Surely, this is happiness"
Passion,Happiness,No one else has ever felt before!
Passion,Happiness,You are so beautiful...
Passion,Happiness,Not by chance
Passion,Happiness,By necessity
Passion,Happiness,By the sadness that we saw in each other.
Passion,Happiness,Just another love story
Passion,Happiness,That's what they would claim
Passion,Happiness,Another simple love story
Passion,Happiness,Aren't all of them the same?
Passion,Happiness,"No, but this is more"
Passion,Happiness,We feel more!
Passion,Happiness,This is so much more!
Passion,Happiness,Like every other love story
Passion,Happiness,Some say happiness
Passion,Happiness,Comes and goes
Passion,Happiness,Then this happiness
Passion,Happiness,Is a kind of happiness
Passion,Happiness,No one really knows
Passion,Happiness,I thought I knew what love was
Passion,Happiness,I'd only heard what love was
Passion,Happiness,I thought it was no more than a name for yearning
Passion,Happiness,I thought it was what kindness became
Passion,Happiness,I'm learning
Passion,Happiness,I thought where there was love there was shame
Passion,Happiness,That with you
Passion,Happiness,But with you
Passion,Happiness,There's just happiness
Passion,Happiness,Endless happiness...
Passion,Happiness,What?
Passion,Happiness,I've been transferred to the Fourth Brigade
Passion,Happiness,"Oh, Clara, please don't look so sad"
Passion,Happiness,You're the one that makes me happy
Passion,Happiness,"God, you are so beautiful"
Passion,Happiness,I love to see you in the light
Passion,Happiness,"Clear and beautiful, memorize"
Passion,Happiness,Every inch
Passion,Happiness,Every part of you
Passion,Happiness,To take with me
Passion,Happiness,Giorgio...
Passion,Happiness,Your feet so soft
Passion,Happiness,As if they'd never touched the ground
Passion,Happiness,I must go...
Passion,Happiness,"Your skin so white, so pure, so delicate"
Passion,Happiness,"Your smell so sweet, your breathe so warm"
Passion,Happiness,I will summon you in my mind
Passion,Happiness,I'm painting you indelibly on my mind
Passion,Happiness,Let me go
Passion,Happiness,We must fill every moment
Passion,Happiness,All this happiness ended by a word in the dark
Passion,Happiness,"Oh my love, oh my darling"
Passion,Happiness,So much happiness wasn't meant to last
Passion,Happiness,I am here
Passion,Happiness,I am with you
Passion,Happiness,I am yours
Passion,Happiness,I never knew what love was
Passion,Happiness,Your skin
