Musical,Song,Text
Sunday in the Park with George,Sunday in the Park with George,White. A blank page or canvas.
Sunday in the Park with George,Sunday in the Park with George,The challenge: bring order to the whole.
Sunday in the Park with George,Sunday in the Park with George,Through design
Sunday in the Park with George,Sunday in the Park with George,Composition
Sunday in the Park with George,Sunday in the Park with George,Tension
Sunday in the Park with George,Sunday in the Park with George,Balance
Sunday in the Park with George,Sunday in the Park with George,Light
Sunday in the Park with George,Sunday in the Park with George,And harmony.
Sunday in the Park with George,Sunday in the Park with George,George.
Sunday in the Park with George,Sunday in the Park with George,Why is it you always get to sit in the shade while I have to stand in the sun?
Sunday in the Park with George,Sunday in the Park with George,"Hello, George?"
Sunday in the Park with George,Sunday in the Park with George,There is someone in this dress!
Sunday in the Park with George,Sunday in the Park with George,A trickle of sweat
Sunday in the Park with George,Sunday in the Park with George,The back of the head
Sunday in the Park with George,Sunday in the Park with George,He always does this—
Sunday in the Park with George,Sunday in the Park with George,Now the foot is dead
Sunday in the Park with George,Sunday in the Park with George,Sunday in the park with George
Sunday in the Park with George,Sunday in the Park with George,One more Su—
Sunday in the Park with George,Sunday in the Park with George,The collar is damp
Sunday in the Park with George,Sunday in the Park with George,Beginning to pinch
Sunday in the Park with George,Sunday in the Park with George,The bustle's slipping—
Sunday in the Park with George,Sunday in the Park with George,I won't budge one inch
Sunday in the Park with George,Sunday in the Park with George,"Who was at the zoo, George?"
Sunday in the Park with George,Sunday in the Park with George,Who was at the zoo?
Sunday in the Park with George,Sunday in the Park with George,"The monkeys and who, George?"
Sunday in the Park with George,Sunday in the Park with George,The monkeys and who?
Sunday in the Park with George,Sunday in the Park with George,Don't move.
Sunday in the Park with George,Sunday in the Park with George,Artists are bizarre. Fixed. Cold.
Sunday in the Park with George,Sunday in the Park with George,"That's you, George, you're bizarre. Fixed. Cold."
Sunday in the Park with George,Sunday in the Park with George,I like that in a man. Fixed. Cold.
Sunday in the Park with George,Sunday in the Park with George,"God, it's hot out here"
Sunday in the Park with George,Sunday in the Park with George,"Well, there are worse things"
Sunday in the Park with George,Sunday in the Park with George,Than staring at the water on a Sunday
Sunday in the Park with George,Sunday in the Park with George,There are worse things
Sunday in the Park with George,Sunday in the Park with George,Than staring at the water
Sunday in the Park with George,Sunday in the Park with George,As you're posing for a picture
Sunday in the Park with George,Sunday in the Park with George,Being painted by your lover
Sunday in the Park with George,Sunday in the Park with George,In the middle of the summer
Sunday in the Park with George,Sunday in the Park with George,On an island in the river
Sunday in the Park with George,Sunday in the Park with George,On a Sunday
Sunday in the Park with George,Sunday in the Park with George,The petticoat's wet
Sunday in the Park with George,Sunday in the Park with George,Which adds to the weight
Sunday in the Park with George,Sunday in the Park with George,The sun is blinding
Sunday in the Park with George,Sunday in the Park with George,"All right, concentrate"
Sunday in the Park with George,Sunday in the Park with George,"Eyes open, please."
Sunday in the Park with George,Sunday in the Park with George,Sunday in the park with George!
Sunday in the Park with George,Sunday in the Park with George,"Look out at the water, not at me"
Sunday in the Park with George,Sunday in the Park with George,Sunday in the park with George!
Sunday in the Park with George,Sunday in the Park with George,"Well, if you want bread"
Sunday in the Park with George,Sunday in the Park with George,And respect and attention
Sunday in the Park with George,Sunday in the Park with George,Not to say connection
Sunday in the Park with George,Sunday in the Park with George,Modeling's no profession
