Musical,Song,Text
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Attend the tale of Sweeney Todd.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,His skin was pale and his eye was odd.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,He shaved the faces of gentlemen
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Who never thereafter were heard of again.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"He trod a path that few have trod,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Did Sweeney Todd, The Demon Barber of Fleet Street"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,He kept a shop in London Town
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Of fancy clients and good renown.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,And what if none of their souls were saved?
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,They went to their
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Maker impeccably shaved by Sweeny,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"By Sweeney Todd, The Demon Barber of Fleet Street"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Swing your razor wide, Sweeny,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Hold it to the skies!
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Freely flows the blood of those who moralize.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"His need were few, his room was bare:"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"a lavabo and a fancy chair,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"A mug of suds and a leather strop,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"An apron, a towel, a pail and a mop."
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"For neatness, he deserves a nod."
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Does Sweeney Todd, The Demon Barber of Fleet Street."
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Inconspicuous Sweeney was,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Quick and quiet and clean 'e was.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Back of his smile, under his word,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Sweeney heard music that nobody heard.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Sweeney pondered and Sweeny planned,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Like a perfect machine 'e planned
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Sweeney was smooth, Sweeny was subtle,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Sweeney would blink and rats would scuttle.
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Sweeney! Sweeney! Sweeney! Sweeney!
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Sweeney!
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,Attend the tale of Sweeney Todd
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,He served a dark and a hungry god
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"What happened then, well that's the play,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"And he wouldn't want us to give it away. Not Sweeney,"
Sweeney Todd: The Demon Barber of Fleet Street,Prelude: The Ballad of Sweeney Todd,"Not Sweeney Todd, The demon barber of Fleet Street."
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,I have sailed the world
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,beheld its wonders
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"from the Dardanelles,"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"to the mountains of Peru,"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,But there's no place like London!
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,I feel home again...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,I could hear the city bells ring...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Whatever would I do?
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,No there's...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,No place like London...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Mr. Todd, sir"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,You are young...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Life has been kind to you...
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,You will learn.
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Tis here we go our separate ways.
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Farewell Antony.
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"I will not soon forget the good ship bountiful, nor the young man who saved my life."
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"There's no cause to thank me for that, sir."
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,It would have been a poor Christian indeed who would have spotted you
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,pinching and tossing on that raft and not given the alarm.
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,There's many a Christian would've done just that and not lost a winks sleep over it either.
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Alms, alms for a miserable woman, on a miserable chilly mornin'!"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Thank ya, sir, thank ya..."
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"How would ya like a little muff,"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"dear a little jig-jig,"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,a little bounce around the bush!
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Wouldn't ya like to push me parsley?
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"It looks to me, dear, that you've got plenty there to push!"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Alms, alms for a pitiful woman..."
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,what's got wandering wits?
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Hey! Don't I know you, mister?"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,"Must you glare at me, woman?"
Sweeney Todd: The Demon Barber of Fleet Street,No Place Like London,Off with you!
