Musical,Song,Text
Into the Woods,Prologue: Into the Woods,Once upon a time-
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,-in a far-off kingdom-
Into the Woods,Prologue: Into the Woods,More than anything...
Into the Woods,Prologue: Into the Woods,-lived a young maiden-
Into the Woods,Prologue: Into the Woods,More than life...
Into the Woods,Prologue: Into the Woods,-a sad young lad-
Into the Woods,Prologue: Into the Woods,More than jewels...
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,-and a childless baker-
Into the Woods,Prologue: Into the Woods,More than life...
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,-with his wife.
Into the Woods,Prologue: Into the Woods,More than anything...
Into the Woods,Prologue: Into the Woods,More than the moon
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,The King is giving a Festival
Into the Woods,Prologue: Into the Woods,More than life...
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,I wish to go to the Festival-
Into the Woods,Prologue: Into the Woods,More than riches...
Into the Woods,Prologue: Into the Woods,And the Ball...
Into the Woods,Prologue: Into the Woods,I wish my cow would give us some milk
Into the Woods,Prologue: Into the Woods,More than anything...
Into the Woods,Prologue: Into the Woods,I wish we had a child
Into the Woods,Prologue: Into the Woods,"Please, pal-"
Into the Woods,Prologue: Into the Woods,I want a child...
Into the Woods,Prologue: Into the Woods,"Squeeze, pal"
Into the Woods,Prologue: Into the Woods,I wish to go to the Festival
Into the Woods,Prologue: Into the Woods,I wish you'd give us some milk
Into the Woods,Prologue: Into the Woods,Or even cheese...
Into the Woods,Prologue: Into the Woods,I wish we might have a child
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,You wish to go to the Festival?
Into the Woods,Prologue: Into the Woods,The poor girl's mother had died-
Into the Woods,Prologue: Into the Woods,"You, Cinderella, the Festival?"
Into the Woods,Prologue: Into the Woods,You wish to go to the Festival?
Into the Woods,Prologue: Into the Woods,"What, you, Cinderella, the Festival?"
Into the Woods,Prologue: Into the Woods,The Festival?!
Into the Woods,Prologue: Into the Woods,"What, you wish to go to the Festival?!"
Into the Woods,Prologue: Into the Woods,The Festival?!
Into the Woods,Prologue: Into the Woods,The King's Festival!?
Into the Woods,Prologue: Into the Woods,-and her father had taken for his new wife-
Into the Woods,Prologue: Into the Woods,The Festival!?
Into the Woods,Prologue: Into the Woods,-a woman with two daughters of her own.
Into the Woods,Prologue: Into the Woods,Look at your nails!
Into the Woods,Prologue: Into the Woods,Look at your dress!
Into the Woods,Prologue: Into the Woods,People would laugh at you-
Into the Woods,Prologue: Into the Woods,Nevertheless-
Into the Woods,Prologue: Into the Woods,I still wish to go to the Festival
Into the Woods,Prologue: Into the Woods,You still wish to go the Festival-
Into the Woods,Prologue: Into the Woods,She still wants to go the Festival-
Into the Woods,Prologue: Into the Woods,-And dance before the Prince?!
Into the Woods,Prologue: Into the Woods,"All three were beautiful of face, but vile and black of heart"
Into the Woods,Prologue: Into the Woods,"Jack, on the other hand, had no father, and his mother-"
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,"Well, she was not quite beautiful-"
Into the Woods,Prologue: Into the Woods,I wish my son were not a fool
Into the Woods,Prologue: Into the Woods,I wish my house was not a mess
Into the Woods,Prologue: Into the Woods,I wish the cow was full of milk
Into the Woods,Prologue: Into the Woods,I wish the walls were full of gold-
Into the Woods,Prologue: Into the Woods,I wish a lot of things...
Into the Woods,Prologue: Into the Woods,"Ugh, you foolish child! What in Heaven's name are you doing with the cow inside the house?"
Into the Woods,Prologue: Into the Woods,A warm environment might be just what Milky-White needs to produce his milk
Into the Woods,Prologue: Into the Woods,"It's a she! How many times must I tell you? Only ""she""s can give milk"
Into the Woods,Prologue: Into the Woods,"Why, come in, little girl."
Into the Woods,Prologue: Into the Woods,I wish...
Into the Woods,Prologue: Into the Woods,It's not for me
Into the Woods,Prologue: Into the Woods,It's for my Granny in the woods
Into the Woods,Prologue: Into the Woods,"A loaf of bread, please-"
Into the Woods,Prologue: Into the Woods,To bring my poor old hungry
Into the Woods,Prologue: Into the Woods,Granny in the woods...
Into the Woods,Prologue: Into the Woods,"Just a loaf of bread, please..."
Into the Woods,Prologue: Into the Woods,Cinderella's stepmother had a surprise for her.
Into the Woods,Prologue: Into the Woods,"I have emptied a pot of lentils into the ashes for you. If you have picked them out again in two hours' time, you shall go to the Ball with us."
Into the Woods,Prologue: Into the Woods,And perhaps a sticky bun?...
Into the Woods,Prologue: Into the Woods,Or four?...
Into the Woods,Prologue: Into the Woods,Birds in the sky
Into the Woods,Prologue: Into the Woods,Birds in the eaves
Into the Woods,Prologue: Into the Woods,In the leaves
Into the Woods,Prologue: Into the Woods,In the fields
Into the Woods,Prologue: Into the Woods,In the castles and ponds...
Into the Woods,Prologue: Into the Woods,... and a few of those pies...
Into the Woods,Prologue: Into the Woods,Please...
Into the Woods,Prologue: Into the Woods,"Come, little birds"
Into the Woods,Prologue: Into the Woods,Down from the eaves
Into the Woods,Prologue: Into the Woods,And the leaves
Into the Woods,Prologue: Into the Woods,Over fields
Into the Woods,Prologue: Into the Woods,Out of castles and ponds...
Into the Woods,Prologue: Into the Woods,"No, squeeze, pal..."
Into the Woods,Prologue: Into the Woods,Ahhh...
Into the Woods,Prologue: Into the Woods,"Quick, little birds"
Into the Woods,Prologue: Into the Woods,Flick through the ashes
Into the Woods,Prologue: Into the Woods,"Pick and peck, but swiftly"
Into the Woods,Prologue: Into the Woods,Sift through the ashes
Into the Woods,Prologue: Into the Woods,Into the pot...
Into the Woods,Prologue: Into the Woods,"Listen well, son. Milky-White must be taken to market."
Into the Woods,Prologue: Into the Woods,"But, Mother, no-he's the best cow-"
Into the Woods,Prologue: Into the Woods,"Was. Was! She's been dry for a week. We've no food nor money, and no choice but to sell her while she can still command a price"
Into the Woods,Prologue: Into the Woods,But Milky-White is my best friend in the whole world!
Into the Woods,Prologue: Into the Woods,But look at her!
Into the Woods,Prologue: Into the Woods,There are bugs on her dugs
Into the Woods,Prologue: Into the Woods,There are flies in her eyes
Into the Woods,Prologue: Into the Woods,There's a lump on her rump
Into the Woods,Prologue: Into the Woods,Big enough to be a hump-
Into the Woods,Prologue: Into the Woods,But-
Into the Woods,Prologue: Into the Woods,Son
Into the Woods,Prologue: Into the Woods,We've no time to sit and dither
Into the Woods,Prologue: Into the Woods,While her withers wither with her-
Into the Woods,Prologue: Into the Woods,And no one keeps a cow for a friend!
Into the Woods,Prologue: Into the Woods,Sometimes I fear you're touched
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,It's time to go
Into the Woods,Prologue: Into the Woods,I hate to leave
Into the Woods,Prologue: Into the Woods,"I have to, though"
Into the Woods,Prologue: Into the Woods,Into the woods-
Into the Woods,Prologue: Into the Woods,"It's time, and so"
Into the Woods,Prologue: Into the Woods,I must begin my journey
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,And through the trees
Into the Woods,Prologue: Into the Woods,To where I am
Into the Woods,Prologue: Into the Woods,"Expected, ma'am"
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To Grandmother's house-
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To Grandmother's house-
Into the Woods,Prologue: Into the Woods,You're certain of your way?
Into the Woods,Prologue: Into the Woods,The way is clear
Into the Woods,Prologue: Into the Woods,The light is good
Into the Woods,Prologue: Into the Woods,I have no fear
Into the Woods,Prologue: Into the Woods,Nor no one should
Into the Woods,Prologue: Into the Woods,The woods are just trees
Into the Woods,Prologue: Into the Woods,The trees are just wood
Into the Woods,Prologue: Into the Woods,I sort of hate to ask it
Into the Woods,Prologue: Into the Woods,But do you have a basket?
Into the Woods,Prologue: Into the Woods,Don't stray and be late
Into the Woods,Prologue: Into the Woods,And save some of those sweets for Granny!
Into the Woods,Prologue: Into the Woods,Haha...
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,And down the dell
Into the Woods,Prologue: Into the Woods,The path is straight
Into the Woods,Prologue: Into the Woods,I know it well
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,And who can tell
Into the Woods,Prologue: Into the Woods,What's waiting on the journey?
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To bring some bread
Into the Woods,Prologue: Into the Woods,To Granny who
Into the Woods,Prologue: Into the Woods,Is sick in bed
Into the Woods,Prologue: Into the Woods,Never can tell
Into the Woods,Prologue: Into the Woods,What lies ahead
Into the Woods,Prologue: Into the Woods,For all that I know
Into the Woods,Prologue: Into the Woods,She's already dead
Into the Woods,Prologue: Into the Woods,But into the woods
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,Into the woods
Into the Woods,Prologue: Into the Woods,To Grandmother's house
Into the Woods,Prologue: Into the Woods,And home before dark!
Into the Woods,Prologue: Into the Woods,"Fly, birds"
Into the Woods,Prologue: Into the Woods,Back to the sky
Into the Woods,Prologue: Into the Woods,Back to the eaves
Into the Woods,Prologue: Into the Woods,And the leaves
Into the Woods,Prologue: Into the Woods,And the fields
Into the Woods,Prologue: Into the Woods,And the-
Into the Woods,Prologue: Into the Woods,"Hurry up and do my hair, Cinderella!"
Into the Woods,Prologue: Into the Woods,Are you really wearing that?
Into the Woods,Prologue: Into the Woods,"Here, I found a little tear, Cinderella!"
Into the Woods,Prologue: Into the Woods,Can't you hide it with a hat?
Into the Woods,Prologue: Into the Woods,You look beautiful
Into the Woods,Prologue: Into the Woods,I know
Into the Woods,Prologue: Into the Woods,She means me
Into the Woods,Prologue: Into the Woods,Put it in a twist
Into the Woods,Prologue: Into the Woods,Who will be there?...
Into the Woods,Prologue: Into the Woods,Mother said be good
Into the Woods,Prologue: Into the Woods,Father said be nice
Into the Woods,Prologue: Into the Woods,That was always their advice
Into the Woods,Prologue: Into the Woods,"So be nice, Cinderella"
Into the Woods,Prologue: Into the Woods,"Good, Cinderella"
Into the Woods,Prologue: Into the Woods,Nice good good nice-
Into the Woods,Prologue: Into the Woods,Tighter!
Into the Woods,Prologue: Into the Woods,What's the good of being good
Into the Woods,Prologue: Into the Woods,If everyone is blind
Into the Woods,Prologue: Into the Woods,And you're always left behind?
Into the Woods,Prologue: Into the Woods,"Never mind, Cinderella"
Into the Woods,Prologue: Into the Woods,Kind Cinderella
Into the Woods,Prologue: Into the Woods,Nice good nice kind good nice-
Into the Woods,Prologue: Into the Woods,Not that tight!
Into the Woods,Prologue: Into the Woods,Sorry.
Into the Woods,Prologue: Into the Woods,Clod.
Into the Woods,Prologue: Into the Woods,"Hmm, hmm, hmm, ha!"
Into the Woods,Prologue: Into the Woods,"Because the Baker had lost his mother and father in a baking accident-well, at least that's what he believed-he was eager to have a family of his own, and was concerned that all efforts until now had failed"
Into the Woods,Prologue: Into the Woods,Who might that be?
Into the Woods,Prologue: Into the Woods,We have sold our last loaf of bread...
Into the Woods,Prologue: Into the Woods,It's the Witch from next door...
Into the Woods,Prologue: Into the Woods,We have no bread
Into the Woods,Prologue: Into the Woods,Of course you have no bread!
Into the Woods,Prologue: Into the Woods,What do you wish?
Into the Woods,Prologue: Into the Woods,It's not what I wish. It's what you wish
