musical,song,text
Follies,Prologue: Beautiful Girls,Hats off
Follies,Prologue: Beautiful Girls,"Here they come, those"
Follies,Prologue: Beautiful Girls,Beautiful girls
Follies,Prologue: Beautiful Girls,That's what you've been waiting for
Follies,Prologue: Beautiful Girls,Nature never fashioned
Follies,Prologue: Beautiful Girls,A flower so fair
Follies,Prologue: Beautiful Girls,No rose can compare—
Follies,Prologue: Beautiful Girls,Nothing respectable
Follies,Prologue: Beautiful Girls,Half so delectable
Follies,Prologue: Beautiful Girls,Cheer them
Follies,Prologue: Beautiful Girls,In their glory
Follies,Prologue: Beautiful Girls,Diamonds and pearls
Follies,Prologue: Beautiful Girls,Dazzling jewels by the score
Follies,Prologue: Beautiful Girls,This is what beauty can be
Follies,Prologue: Beautiful Girls,Beauty celestial
Follies,Prologue: Beautiful Girls,"The best, you'll"
Follies,Prologue: Beautiful Girls,Agree:
Follies,Prologue: Beautiful Girls,"All for you, these beautiful girls!"
Follies,Prologue: Beautiful Girls,Caution
Follies,Prologue: Beautiful Girls,On your guard with
Follies,Prologue: Beautiful Girls,Beautiful girls
Follies,Prologue: Beautiful Girls,"Flawless charmers, every one"
Follies,Prologue: Beautiful Girls,This is how Samson was shorn:
Follies,Prologue: Beautiful Girls,Each in her style a
Follies,Prologue: Beautiful Girls,Delilah
Follies,Prologue: Beautiful Girls,Reborn
Follies,Prologue: Beautiful Girls,"Each a gem, a beautiful"
Follies,Prologue: Beautiful Girls,Diadem of beautiful—
Follies,Prologue: Beautiful Girls,Welcome them
Follies,Prologue: Beautiful Girls,These beautiful
Follies,Prologue: Beautiful Girls,Girls!
Follies,Don't Look At Me,"Now, folks, we bring you"
Follies,Don't Look At Me,Di-rect from Phoenix
Follies,Don't Look At Me,Live and in person
Follies,Don't Look At Me,Sally Durant!
Follies,Don't Look At Me,Here she is at last
Follies,Don't Look At Me,Twinkle in her eye
Follies,Don't Look At Me,Hot off the press
Follies,Don't Look At Me,Strictly a mess
Follies,Don't Look At Me,Nevertheless...
Follies,Don't Look At Me,"Hi, Ben..."
Follies,Don't Look At Me,"No, don't look at me—"
Follies,Don't Look At Me,"Please, not just yet"
Follies,Don't Look At Me,Why am I here? This is crazy!
Follies,Don't Look At Me,"No, don't look at me—"
Follies,Don't Look At Me,I know that face
Follies,Don't Look At Me,You're trying to place
Follies,Don't Look At Me,The name...
Follies,Don't Look At Me,"Say something, Ben, anything"
Follies,Don't Look At Me,"No, don't talk to me"
Follies,Don't Look At Me,"Ben, I forget"
Follies,Don't Look At Me,What were we like? It's so hazy!
Follies,Don't Look At Me,Look at these people
Follies,Don't Look At Me,Aren't they eerie?
Follies,Don't Look At Me,Look at this party
Follies,Don't Look At Me,Isn't it dreary?
Follies,Don't Look At Me,I'm so glad I came
Follies,Don't Look At Me,So-
Follies,Don't Look At Me,I just look at us...
Follies,Don't Look At Me,Fat...
Follies,Don't Look At Me,Turning gray...
Follies,Don't Look At Me,Still playing games
Follies,Don't Look At Me,Acting crazy
Follies,Don't Look At Me,Isn't it awful?
Follies,Don't Look At Me,God. how depressing—
Follies,Don't Look At Me,"Me, I'm a hundred"
Follies,Don't Look At Me,"You, you're a blessing—"
Follies,Don't Look At Me,I'm so glad I came!
Follies,Don't Look At Me,What we need is a drink.
Follies,Waiting for the Girls Upstairs,"Hey, up there!"
Follies,Waiting for the Girls Upstairs,Way up there!
Follies,Waiting for the Girls Upstairs,"Whaddaya say, up there?"
Follies,Waiting for the Girls Upstairs,I see it all. It's like a movie in my head that plays and plays. It isn't just the bad things I remember. It's the whole damn show.
Follies,Waiting for the Girls Upstairs,Waiting around for the girls upstairs
Follies,Waiting for the Girls Upstairs,After the curtain came down—
Follies,Waiting for the Girls Upstairs,Money in my pocket to spend
