Musical,Song,Text
Merrily We Roll Along,Merrily We Roll Along,Yesterday is done
Merrily We Roll Along,Merrily We Roll Along,See the pretty countryside
Merrily We Roll Along,Merrily We Roll Along,"Merrily we roll along, roll along"
Merrily We Roll Along,Merrily We Roll Along,Bursting with dreams
Merrily We Roll Along,Merrily We Roll Along,Traveling's the fun
Merrily We Roll Along,Merrily We Roll Along,Flashing by the countryside
Merrily We Roll Along,Merrily We Roll Along,Everybody merrily
Merrily We Roll Along,Merrily We Roll Along,Merrily
Merrily We Roll Along,Merrily We Roll Along,Catching at dreams
Merrily We Roll Along,Merrily We Roll Along,Rolling along…
Merrily We Roll Along,Merrily We Roll Along,Rolling along…
Merrily We Roll Along,Merrily We Roll Along,Rolling along…
Merrily We Roll Along,Merrily We Roll Along,Dreams don’t die
Merrily We Roll Along,Merrily We Roll Along,So keep an eye on your dream—
Merrily We Roll Along,Merrily We Roll Along,And before you know where you are
Merrily We Roll Along,Merrily We Roll Along,There you are
Merrily We Roll Along,Merrily We Roll Along,Time goes by
Merrily We Roll Along,Merrily We Roll Along,And hopes go dry
Merrily We Roll Along,Merrily We Roll Along,But you still can try
Merrily We Roll Along,Merrily We Roll Along,For your dream
Merrily We Roll Along,Merrily We Roll Along,Tend your dream…
Merrily We Roll Along,Merrily We Roll Along,How does it happen?
Merrily We Roll Along,Merrily We Roll Along,Dreams take time…
Merrily We Roll Along,Merrily We Roll Along,Once it was all so clеar
Merrily We Roll Along,Merrily We Roll Along,Time goes by…
Merrily We Roll Along,Merrily We Roll Along,How can you get so far off thе track?
Merrily We Roll Along,Merrily We Roll Along,Why don't you turn around and go back?
Merrily We Roll Along,Merrily We Roll Along,Bend your dream…
Merrily We Roll Along,Merrily We Roll Along,How does it happen?
Merrily We Roll Along,Merrily We Roll Along,Where is the moment?
Merrily We Roll Along,Merrily We Roll Along,With the road…
Merrily We Roll Along,Merrily We Roll Along,How can you miss it?
Merrily We Roll Along,Merrily We Roll Along,Isn't it clear?
Merrily We Roll Along,Merrily We Roll Along,How can you let it slip out of gear?
Merrily We Roll Along,Merrily We Roll Along,How did you ever get there from here?
Merrily We Roll Along,Merrily We Roll Along,You roll
Merrily We Roll Along,Merrily We Roll Along,How does it happen?
Merrily We Roll Along,Merrily We Roll Along,You just roll
Merrily We Roll Along,Merrily We Roll Along,Once it was all so clear
Merrily We Roll Along,Merrily We Roll Along,Isn’t it always clear?
Merrily We Roll Along,Merrily We Roll Along,Everybody roll
Merrily We Roll Along,Merrily We Roll Along,How does it start to go?
Merrily We Roll Along,Merrily We Roll Along,Does it slip away slow
Merrily We Roll Along,Merrily We Roll Along,So you never even notice it's happening?
Merrily We Roll Along,Merrily We Roll Along,How did you get to be here?
Merrily We Roll Along,Merrily We Roll Along,What was the moment?
Merrily We Roll Along,Merrily We Roll Along,How did you get to be here?
Merrily We Roll Along,Merrily We Roll Along,Pick yourself a road
Merrily We Roll Along,Merrily We Roll Along,Get to know the countryside
Merrily We Roll Along,Merrily We Roll Along,Soon enough you're merrily
Merrily We Roll Along,Merrily We Roll Along,Merrily
Merrily We Roll Along,Merrily We Roll Along,Practicing dreams
Merrily We Roll Along,Merrily We Roll Along,Dreams that will explode
Merrily We Roll Along,Merrily We Roll Along,Waking up the countryside
Merrily We Roll Along,Merrily We Roll Along,"Making you feel merrily, merrily"
Merrily We Roll Along,Merrily We Roll Along,What can go wrong
Merrily We Roll Along,Merrily We Roll Along,Rolling along?
Merrily We Roll Along,Merrily We Roll Along,Some roads are soft
Merrily We Roll Along,Merrily We Roll Along,And some are bumpy
Merrily We Roll Along,Merrily We Roll Along,Some roads you really fly
Merrily We Roll Along,Merrily We Roll Along,Some rides are rough
Merrily We Roll Along,Merrily We Roll Along,And leave you jumpy
Merrily We Roll Along,Merrily We Roll Along,Why make it tough
Merrily We Roll Along,Merrily We Roll Along,By getting grumpy?
Merrily We Roll Along,Merrily We Roll Along,Plenty of roads to try
Merrily We Roll Along,Merrily We Roll Along,One trip (Some roads are soft)
Merrily We Roll Along,Merrily We Roll Along,All you get (And some are bumpy)
Merrily We Roll Along,Merrily We Roll Along,Is one quick ride (Some roads you really fly)
Merrily We Roll Along,Merrily We Roll Along,Look around a bit
Merrily We Roll Along,Merrily We Roll Along,One quick ride (Some roads are rough and leave you jumpy)
Merrily We Roll Along,Merrily We Roll Along,Through the countryside (Why make it tough by getting grumpy?)
Merrily We Roll Along,Merrily We Roll Along,Stay on the track (Plenty of roads to try)
Merrily We Roll Along,Merrily We Roll Along,Never look back (Some roads you really fly)
Merrily We Roll Along,Merrily We Roll Along,Never look back
Merrily We Roll Along,Merrily We Roll Along,Never look back
Merrily We Roll Along,Merrily We Roll Along,Never look back!
Merrily We Roll Along,Merrily We Roll Along,Never look back!
Merrily We Roll Along,Merrily We Roll Along,Never look—
Merrily We Roll Along,Merrily We Roll Along,How did you get to be here?
Merrily We Roll Along,Merrily We Roll Along,What was the moment?
Merrily We Roll Along,Merrily We Roll Along,How did you get to be here?
Merrily We Roll Along,Merrily We Roll Along,Bending with the road
Merrily We Roll Along,Merrily We Roll Along,Gliding through the countryside
Merrily We Roll Along,Merrily We Roll Along,Merrily we roll along
Merrily We Roll Along,Merrily We Roll Along,Roll along
Merrily We Roll Along,Merrily We Roll Along,Catching at dreams
Merrily We Roll Along,Merrily We Roll Along,Dreams that will explode
Merrily We Roll Along,Merrily We Roll Along,Waking up the countryside
Merrily We Roll Along,Merrily We Roll Along,"Everybody merrily, merrily"
Merrily We Roll Along,Merrily We Roll Along,Sing 'em your song
Merrily We Roll Along,Merrily We Roll Along,Rolling along!
Merrily We Roll Along,Merrily We Roll Along,Rolling along!
Merrily We Roll Along,Merrily We Roll Along,Rolling along!
Merrily We Roll Along,Merrily We Roll Along,Rolling a—
Merrily We Roll Along,That Frank,"I said, ""Frank, this picture is a watershed…"""
Merrily We Roll Along,That Frank,"I said, ""Frank, one day you'll run my studio…"""
Merrily We Roll Along,That Frank,"I said, ""Frank, will you listen to that response?"""
Merrily We Roll Along,That Frank,"I said, ""Frank really knows what the public wants"""
Merrily We Roll Along,That Frank,"I said, ""Frank, this picture is a watershed…"""
Merrily We Roll Along,That Frank,Know what I'm having?
Merrily We Roll Along,That Frank,What?
Merrily We Roll Along,That Frank,Not much fun
Merrily We Roll Along,That Frank,Party!
Merrily We Roll Along,That Frank,That Frank—
Merrily We Roll Along,That Frank,The guy is too much
Merrily We Roll Along,That Frank,"Hey, the party's outside!"
Merrily We Roll Along,That Frank,That Frank—
Merrily We Roll Along,That Frank,Did you like the picture?
Merrily We Roll Along,That Frank,The platinum touch
Merrily We Roll Along,That Frank,How about more Champagne?
Merrily We Roll Along,That Frank,"He has taste, he has talent—"
Merrily We Roll Along,That Frank,Is he the best?
Merrily We Roll Along,That Frank,Plus a fine head for business
Merrily We Roll Along,That Frank,The man is blessed
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,I wrote the screenplay for Frank's movie
Merrily We Roll Along,That Frank,Your secret's safe with me
Merrily We Roll Along,That Frank,That Frank—
Merrily We Roll Along,That Frank,So what do you do?
Merrily We Roll Along,That Frank,He's full of advice
Merrily We Roll Along,That Frank,I drink
Merrily We Roll Along,That Frank,That Frank—
Merrily We Roll Along,That Frank,"No, what do you really do?"
Merrily We Roll Along,That Frank,"And God, is he nice!"
Merrily We Roll Along,That Frank,I really drink
Merrily We Roll Along,That Frank,What a friend—
Merrily We Roll Along,That Frank,What a host—
Merrily We Roll Along,That Frank,And his work is great
Merrily We Roll Along,That Frank,Has a wife who is gorgeous—
Merrily We Roll Along,That Frank,A son who's straight
Merrily We Roll Along,That Frank,He's the type you could easily learn to hate
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,"Who says, ""Lonely at the top?"""
Merrily We Roll Along,That Frank,"I say, ""Let it never stop!"""
Merrily We Roll Along,That Frank,It's our time
Merrily We Roll Along,That Frank,Coming through
Merrily We Roll Along,That Frank,All our dreams
Merrily We Roll Along,That Frank,Coming true
Merrily We Roll Along,That Frank,Working hard
Merrily We Roll Along,That Frank,Getting rich
Merrily We Roll Along,That Frank,Being happy—
Merrily We Roll Along,That Frank,There's a switch!
Merrily We Roll Along,That Frank,That smile—
Merrily We Roll Along,That Frank,Don't you miss writing music?
Merrily We Roll Along,That Frank,He's hot but he's cool
Merrily We Roll Along,That Frank,That was the old Frank Shepard
Merrily We Roll Along,That Frank,What style—
Merrily We Roll Along,That Frank,This guy's the American dream!
Merrily We Roll Along,That Frank,And what a great pool!
Merrily We Roll Along,That Frank,If you had no idea what charisma meant—
Merrily We Roll Along,That Frank,"And you just can't be jealous, he's such a gent—"
Merrily We Roll Along,That Frank,He's the kind of a man that you can't resent
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,Franklin?
Merrily We Roll Along,That Frank,"Oh, Meg, this is Mary Flynn"
Merrily We Roll Along,That Frank,"Mary is my deepest, closest, best friend in all the world"
Merrily We Roll Along,That Frank,Congratulations on the movie
Merrily We Roll Along,That Frank,Your performance will stay with me for a long time
Merrily We Roll Along,That Frank,We go way back
Merrily We Roll Along,That Frank,But seldom forward
Merrily We Roll Along,That Frank,"I said, ""Frank, you're coming down to Mexico…"""
Merrily We Roll Along,That Frank,I think Frank is moving back to Paramount…
Merrily We Roll Along,That Frank,These are the movers
Merrily We Roll Along,That Frank,These are the shapers
Merrily We Roll Along,That Frank,These are the people
Merrily We Roll Along,That Frank,Who fill the papers
Merrily We Roll Along,That Frank,Mexico…
Merrily We Roll Along,That Frank,These are the friends of Frank
Merrily We Roll Along,That Frank,Moving back to Paramount…
Merrily We Roll Along,That Frank,Each one a perfect blank
Merrily We Roll Along,That Frank,When you see a movie that successful
Merrily We Roll Along,That Frank,What can you say?
Merrily We Roll Along,That Frank,Congratulations!
Merrily We Roll Along,That Frank,Thank you!
Merrily We Roll Along,That Frank,These are the movers
Merrily We Roll Along,That Frank,These are the shapers
Merrily We Roll Along,That Frank,These are the people
Merrily We Roll Along,That Frank,Who give you vapors…
Merrily We Roll Along,That Frank,"Twenty years ago, who'd have guessed"
Merrily We Roll Along,That Frank,Who'd have guessed
Merrily We Roll Along,That Frank,We'd be standing here?
Merrily We Roll Along,That Frank,"God, we would have been so impressed!"
Merrily We Roll Along,That Frank,Now we're here with the most—
Merrily We Roll Along,That Frank,Mexico…
Merrily We Roll Along,That Frank,—Brilliant minds on the coast
Merrily We Roll Along,That Frank,Moving back to Paramount…
Merrily We Roll Along,That Frank,And notice who is their host
Merrily We Roll Along,That Frank,Mexico…
Merrily We Roll Along,That Frank,"Beautiful, Frank!"
Merrily We Roll Along,That Frank,"Acapulco, Mexico…"
Merrily We Roll Along,That Frank,"Beautiful, Frank!"
Merrily We Roll Along,That Frank,When you've made a movie that successful
Merrily We Roll Along,That Frank,Where do you go?
Merrily We Roll Along,That Frank,Uh—Paramount!
Merrily We Roll Along,That Frank,Here's to us
Merrily We Roll Along,That Frank,Who's like us?
Merrily We Roll Along,That Frank,Damn few
Merrily We Roll Along,That Frank,Now I heard a reliable rumor that you're selling the Malibu house?
Merrily We Roll Along,That Frank,You don't want it
Merrily We Roll Along,That Frank,The place doesn't even have a pool
Merrily We Roll Along,That Frank,No pool?! Trash it!
Merrily We Roll Along,That Frank,"Let's have some coffee, Mary"
Merrily We Roll Along,That Frank,Poor Frank—
Merrily We Roll Along,That Frank,I never drink coffee
Merrily We Roll Along,That Frank,He handled that well
Merrily We Roll Along,That Frank,Caffeine isn't good for you
Merrily We Roll Along,That Frank,That Frank—
Merrily We Roll Along,That Frank,"Look, I'm aware this was just a formula picture"
Merrily We Roll Along,That Frank,He's loyal as hell
Merrily We Roll Along,That Frank,But my next movie—you wait
Merrily We Roll Along,That Frank,I gave up waiting
Merrily We Roll Along,That Frank,"He's polite and considerate, rain or shine"
Merrily We Roll Along,That Frank,It began when I tasted communion wine—
Merrily We Roll Along,That Frank,That Frank
Merrily We Roll Along,That Frank,"Who says, ""Mustn't go too far""?"
Merrily We Roll Along,That Frank,"I say, ""Look at where we are!"""
Merrily We Roll Along,That Frank,It's our time
Merrily We Roll Along,That Frank,Coming through
Merrily We Roll Along,That Frank,"I say, ""Good—"
Merrily We Roll Along,That Frank,"Me and you"""
Merrily We Roll Along,That Frank,"I say, ""Roll!"""
Merrily We Roll Along,That Frank,"I say, ""Ride!"""
Merrily We Roll Along,That Frank,"I say, ""Hey, there's food outside!"""
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,Frank's movie was fun!
Merrily We Roll Along,That Frank,You'd think he'd relax
Merrily We Roll Along,That Frank,Frank knows what the public wants
Merrily We Roll Along,That Frank,Not Frank—
Merrily We Roll Along,That Frank,And Frank made a star
Merrily We Roll Along,That Frank,He's laying new tracks
Merrily We Roll Along,That Frank,"I love a ""movie-movie""!"
Merrily We Roll Along,That Frank,If you had no idea what charisma meant—
Merrily We Roll Along,That Frank,"And you just can't be jealous, he's such a gent—"
Merrily We Roll Along,That Frank,He's the kind of a man could be President
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,That Frank,That Frank!
Merrily We Roll Along,First Transition,How did you get to be here?
Merrily We Roll Along,First Transition,What was the moment?
Merrily We Roll Along,First Transition,How did you get to be here?
Merrily We Roll Along,First Transition,Dreams don’t die
Merrily We Roll Along,First Transition,So keep an eye on your dream
Merrily We Roll Along,First Transition,Or before you know where you are
Merrily We Roll Along,First Transition,There you are
Merrily We Roll Along,First Transition,Roads may wind
Merrily We Roll Along,First Transition,And you may find
Merrily We Roll Along,First Transition,What you’ve left behind
Merrily We Roll Along,First Transition,Is your
Merrily We Roll Along,First Transition,Dream
