musical,song,text
A Little Night Music,Now,"Now, as the sweet imbecilities"
A Little Night Music,Now,Tumble so lavishly
A Little Night Music,Now,"Onto her lap,"
A Little Night Music,Now,"Now, there are two possibilities:"
A Little Night Music,Now,"A, I could ravish her,"
A Little Night Music,Now,"B, I could nap."
A Little Night Music,Now,Say
A Little Night Music,Now,"It's the ravishment, then we see"
A Little Night Music,Now,The option
A Little Night Music,Now,"That follows, of course:"
A Little Night Music,Now,"A,"
A Little Night Music,Now,"The deployment of charm, or B,"
A Little Night Music,Now,The adoption
A Little Night Music,Now,Of physical force.
A Little Night Music,Now,"Now, B might arouse her,"
A Little Night Music,Now,But if I assume
A Little Night Music,Now,I trip on my trouser
A Little Night Music,Now,Leg crossing the room...
A Little Night Music,Now,"Her hair getting tangled,"
A Little Night Music,Now,"Her stays getting snapped,"
A Little Night Music,Now,"My nerves would be jangled,"
A Little Night Music,Now,My energy sapped...
A Little Night Music,Now,Removing her clothing
A Little Night Music,Now,"Would take me all day,"
A Little Night Music,Now,And her subsequent loathing
A Little Night Music,Now,"Would turn me away,"
A Little Night Music,Now,Which eliminates B
A Little Night Music,Now,And which leaves us with A.
A Little Night Music,Now,"Now, insofar as approaching it,"
A Little Night Music,Now,What would be festive
A Little Night Music,Now,But have its effect?
A Little Night Music,Now,"Now, there are two ways of broaching it:"
A Little Night Music,Now,"A, the suggestive,"
A Little Night Music,Now,"And B, the direct."
A Little Night Music,Now,Say
A Little Night Music,Now,"That I settle on B, to wit,"
A Little Night Music,Now,A charmingly
A Little Night Music,Now,"Lecherous mood,"
A Little Night Music,Now,"A,"
A Little Night Music,Now,I could put on my nightshirt or sit
A Little Night Music,Now,"Disarmingly,"
A Little Night Music,Now,"B, in the nude."
A Little Night Music,Now,That might be effective;
A Little Night Music,Now,My body's all right--
A Little Night Music,Now,But not in perspective
A Little Night Music,Now,And not in the light.
A Little Night Music,Now,I'm bound to be chilly
A Little Night Music,Now,"And feel a buffoon,"
A Little Night Music,Now,But nightshirts are silly
A Little Night Music,Now,In mid-afternoon.
A Little Night Music,Now,"Which leaves the suggestive,"
A Little Night Music,Now,But how to proceed?
A Little Night Music,Now,"Although she gets restive,"
A Little Night Music,Now,Perhaps I could read.
A Little Night Music,Now,In view of her penchant
A Little Night Music,Now,"For something romantic,"
A Little Night Music,Now,De Sade is to trenchant
A Little Night Music,Now,"And Dickens too frantic,"
A Little Night Music,Now,And Stendhal would ruin
A Little Night Music,Now,"The plan of attack,"
A Little Night Music,Now,As there isn't much blue in
A Little Night Music,Now,"""The Red and the Black."""
A Little Night Music,Now,De Maupassant's candour
A Little Night Music,Now,"Would cause her dismay,"
A Little Night Music,Now,The Brontes are grander
A Little Night Music,Now,"But not very gay,"
A Little Night Music,Now,"Her taste is much blander,"
A Little Night Music,Now,"I'm sorry to say,"
A Little Night Music,Now,But is Hans Christian Ander-
